# AZMP_SST_Monthly.dat   2020-03-21 11:43
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
#
# SST averaged monthly over AE regions.
#
# col  1: Year
# col  2: Month
#
# col  3: SST in NAFO 2G
# col  4: SST in NAFO 2H
# col  5: SST in NAFO 2J
# col  6: SST in NAFO 3K 
# col  7: SST in NAFO 3L
# col  8: SST in NAFO 3M
# col  9: SST in NAFO 3N
# col 10: SST in NAFO 3O
# col 11: SST in NAFO 3P
# col 12: SST in GSL
# col 13: SST in Estuary
# col 14: SST in NAFO 4Vn
# col 15: SST in NAFO 4Vs
# col 17: SST in NAFO 4W
# col 18: SST in NAFO 4X SS
# col 19: SST in NAFO 4X eGdM+BdF
# col 20: SST standardized anomaly in NAFO 2G
# col 21: SST standardized anomaly in NAFO 2H
# col 22: SST standardized anomaly in NAFO 2J
# col 23: SST standardized anomaly in NAFO 3K
# col 24: SST standardized anomaly in NAFO 3L 
# col 25: SST standardized anomaly in NAFO 3M 
# col 26: SST standardized anomaly in NAFO 3N
# col 27: SST standardized anomaly in NAFO 3O
# col 28: SST standardized anomaly in NAFO 3P
# col 29: SST standardized anomaly in GSL
# col 30: SST standardized anomaly in Estuary
# col 31: SST standardized anomaly in NAFO 4Vn
# col 32: SST standardized anomaly in NAFO 4Vs
# col 33: SST standardized anomaly in NAFO 4W
# col 34: SST standardized anomaly in NAFO 4X SS
# col 35: SST standardized anomaly in NAFO 4X eGdM+BdF
#
# Missing value parameter: -99
#Yr  Mn    2G    2H    2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM   2J    3K    3L    3M    3N    3O    3P   GSL   Est   4Vn   4Vs    4W  4XSS 4XeGdM
1990 09  1.69  2.77  4.22  8.03 11.92 13.80 13.64 16.22 14.68 12.29  7.16 15.10 16.21 16.97 17.11 13.64 -1.11 -0.48  0.48  1.21  0.31  0.80  0.54 -0.30 -0.36  0.35  0.44  0.23  1.32  0.53
1990 10   -99  1.83  2.11  4.99  8.87   -99 10.78 13.23 11.84  8.23  3.66 11.04 12.96 13.82 13.45 11.75 -0.49 -0.02  0.71   -99  0.66  0.82  1.17 -0.09 -0.77  0.28  0.74  0.30  0.19  0.09
1990 11   -99   -99   -99   -99   -99   -99   -99  6.62  5.23   -99  1.62   -99  6.16  7.90  8.33  8.19   -99   -99   -99   -99   -99 -2.22 -1.62   -99 -0.30   -99 -1.80 -1.41 -1.20 -1.15
1990 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.96   -99  4.13  4.38  5.57   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.26   -99 -1.55 -1.50 -1.21
1991 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.93  1.93  3.19   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.01 -0.68 -0.90
1991 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.75  1.57  1.19  1.85   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.29 -0.10 -0.04 -0.84
1991 03   -99   -99   -99   -99   -99   -99   -99   -99  0.19 -1.17 -0.59 -0.75  0.50  1.29  1.22  1.64   -99   -99   -99   -99   -99   -99 -0.10 -0.14 -0.10 -0.22 -0.09 -0.01  0.31 -0.67
1991 04   -99   -99   -99 -0.68 -0.12   -99  1.10  1.34  0.42 -0.22  1.04 -0.27  0.84  1.36  1.19  2.55   -99 -0.33 -0.67   -99 -0.69 -1.08 -0.50 -0.20 -0.19 -0.48 -0.46 -0.79 -0.76 -0.70
1991 05   -99 -0.33   -99 -0.26  0.30  3.71  2.07  2.77  1.77  2.04  4.20  1.24  2.39  3.86  3.84  4.99   -99 -1.04 -1.40 -1.57 -1.49 -1.83 -1.34 -1.05 -0.28 -1.45 -1.29 -0.95 -1.05 -0.57
1991 06  0.37  0.83  0.69  1.62  2.66  5.06  4.42  5.43  5.14  7.79  7.90  6.28  6.23  8.15  8.65  8.55 -1.19 -1.71 -2.05 -2.45 -2.59 -2.87 -1.97 -0.55 -0.31 -1.34 -1.75 -1.01 -0.72 -0.11
1991 07  1.79  2.75   -99  4.78  7.27  8.56 10.82 11.22 11.10 12.22  8.97 12.63 13.41 14.68 13.28 11.58   -99 -2.89 -2.46 -2.72 -2.17 -2.74 -1.46 -1.39 -1.72 -1.22 -0.57 -0.27 -0.96 -0.66
1991 08  2.76  4.22  5.30  7.87 10.18 10.70 13.40 14.67 14.11 14.47 10.02 16.00 16.29 17.31 16.10 13.08 -2.08 -2.52 -2.47 -2.31 -1.99 -2.19 -1.83 -0.95 -0.23 -1.22 -1.20 -0.67 -0.31 -0.61
1991 09  2.07  3.21  3.76  7.00  9.84 11.50 13.02 15.10 13.09 11.85  6.25 13.82 15.20 16.30 14.84 12.49 -1.57 -1.51 -1.60 -1.09 -0.31 -0.32 -1.05 -0.74 -1.27 -0.93 -0.57 -0.44 -0.95 -0.62
1991 10   -99  1.73  2.11  4.53  7.81  9.90  9.38 12.18 10.36  8.33  3.77 11.20 12.14 13.64 13.22 11.63 -0.49 -0.48 -0.35 -0.42 -0.74 -0.23 -0.31  0.01 -0.66  0.44 -0.08  0.12 -0.04 -0.03
1991 11   -99  0.54  1.05  1.86   -99   -99  5.63   -99  6.32  4.81  1.90  6.14  7.02  8.88  9.00  9.18  0.13 -0.31   -99   -99 -1.08   -99 -0.53  0.48 -0.02 -0.44 -0.94 -0.43 -0.53 -0.16
1991 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  4.91  6.36   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.97 -0.42
1992 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.49  3.02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.12 -1.07
1992 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.40   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -1.29
1992 03   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.27  0.51 -0.22  1.38   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.32 -0.79 -1.13 -0.93
1992 04   -99   -99   -99 -1.01 -0.21   -99   -99  1.47  0.10 -0.33  0.77 -0.74  0.58  1.03  0.80  1.81   -99 -0.66 -0.76   -99   -99 -0.95 -0.82 -0.31 -0.46 -0.95 -0.72 -1.12 -1.15 -1.44
1992 05   -99  0.15 -0.21  0.26  1.37  3.48  2.25  2.99  2.23  1.90  3.70  1.19  2.52  3.78  3.57  4.00 -0.50 -0.52 -0.33 -1.80 -1.31 -1.61 -0.88 -1.19 -0.78 -1.50 -1.16 -1.03 -1.32 -1.56
1992 06   -99   -99   -99  2.58  3.82  7.51  6.31  7.28  6.38  7.51  7.61  6.49  7.03  8.69  8.21  7.11   -99 -0.75 -0.89 -0.00 -0.70 -1.02 -0.73 -0.83 -0.60 -1.13 -0.95 -0.47 -1.16 -1.55
1992 07  0.41  2.32  3.21  4.82  6.99   -99  8.77 10.83 10.03 11.39  9.27 10.94 11.62 12.96 12.82 10.09 -2.09 -2.85 -2.74   -99 -4.22 -3.13 -2.53 -2.22 -1.42 -2.91 -2.36 -1.99 -1.42 -2.15
1992 08  1.72  3.78  5.32  8.02  9.86  9.65 13.29 15.55 14.32 13.77  8.53 15.79 16.52 17.28 15.40 12.36 -2.06 -2.37 -2.79 -3.36 -2.10 -1.31 -1.62 -1.65 -1.72 -1.43 -0.97 -0.70 -1.01 -1.33
1992 09  1.05  2.81  4.33  7.75 10.27 11.72 12.72 15.94 15.06 12.74  7.16 15.71 16.98 17.42 14.97 12.20 -1.00 -0.76 -1.17 -0.87 -0.61  0.52  0.92  0.15 -0.36  0.96  1.21  0.68 -0.82 -0.91
1992 10   -99  1.12  1.87  4.26  6.72  9.62  8.60 11.29  9.66  7.41  3.18  9.88 11.83 13.75 12.78 10.24 -0.73 -0.75 -1.44 -0.70 -1.52 -1.12 -1.01 -0.91 -1.25 -0.88 -0.39  0.23 -0.48 -1.42
1992 11   -99   -99  0.51   -99   -99   -99   -99   -99   -99  3.27  1.28   -99   -99  8.74  9.56  8.62 -0.41   -99   -99   -99   -99   -99   -99 -1.06 -0.64   -99   -99 -0.57  0.03 -0.72
1992 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.57   -99  5.05  5.50  6.04   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.65   -99 -0.63 -0.38 -0.74
1993 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.28  3.83   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.33 -0.26
1993 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.78  2.01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.45 -0.68
1993 03   -99   -99   -99   -99 -0.12   -99   -99  1.42  0.26   -99 -0.24 -0.50  1.16  1.69  0.71  1.46   -99   -99 -0.44   -99   -99 -0.19 -0.03   -99  0.25  0.03  0.57  0.39 -0.20 -0.85
1993 04   -99   -99   -99 -0.71  0.78  2.30  1.78  1.90  1.32  0.09  1.63  0.31  1.30  2.51  1.29  2.44   -99 -0.36  0.23 -1.60 -0.01 -0.52  0.40  0.11  0.40  0.10  0.00  0.36 -0.66 -0.81
1993 05   -99   -99   -99   -99   -99  4.88  3.80  4.35  2.70  2.52  4.60  2.04  3.44  5.03  4.69  4.69   -99   -99   -99 -0.40  0.24 -0.25 -0.41 -0.57  0.12 -0.65 -0.24  0.22 -0.20 -0.87
1993 06  0.44  1.32  1.13  2.00  3.70   -99  5.86  7.56  6.85  8.11  9.04  6.87  7.89  8.54  8.24  7.70 -0.75 -1.33 -1.01   -99 -1.15 -0.74 -0.26 -0.23  0.83 -0.75 -0.09 -0.62 -1.13 -0.96
1993 07  2.19  4.05  4.56  6.05  7.36   -99  9.64 11.56 11.64 12.74 12.43 12.15 12.83 14.07 14.21 11.98 -0.74 -1.62 -2.37   -99 -3.35 -2.40 -0.92 -0.87  1.74 -1.70 -1.15 -0.88 -0.03 -0.26
1993 08  3.25  6.60  8.77  9.90 11.46 13.34 14.69 15.84 15.48 15.77 11.92 16.52 16.79 17.65 17.58 14.05  1.39 -0.49 -1.19  0.33 -0.70 -1.02 -0.46  0.35  1.67 -0.70 -0.70 -0.33  1.17  0.36
1993 09  2.42  4.08  5.23  7.78 10.54 12.00 12.51 15.51 14.63 12.57  7.87 15.14 16.38 17.99 17.34 13.81 -0.10 -0.73 -0.90 -0.59 -0.82  0.09  0.49 -0.02  0.35  0.39  0.61  1.25  1.55  0.70
1993 10  1.26  2.00  3.01  5.49  8.66  9.99  9.72 13.07 11.56  7.88  3.39 11.69 13.28 14.66 13.19 11.92  0.41  0.48  0.50 -0.33 -0.40  0.66  0.89 -0.44 -1.04  0.93  1.06  1.14 -0.07  0.26
1993 11   -99   -99  0.84  2.16  4.98  7.59  5.63  8.41  7.14  3.94  1.53  6.58  8.30 10.12 10.06  9.99 -0.08 -0.01  0.12 -0.71 -1.08 -0.43  0.29 -0.39 -0.39 -0.00  0.34  0.81  0.53  0.65
1993 12   -99   -99   -99   -99  2.02  5.34  3.34  4.75  3.96   -99   -99  3.25  4.56  6.55  7.13  7.56   -99   -99 -0.09 -0.82 -0.48 -0.62  0.26   -99   -99  0.03 -0.01  0.87  1.25  0.78
1994 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  2.31  0.57  3.20   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.64 -0.66  0.51
1994 03   -99   -99   -99   -99 -0.05   -99   -99   -99  0.09   -99   -99   -99  0.23  1.09  0.36  2.60   -99   -99 -0.37   -99   -99   -99 -0.20   -99   -99   -99 -0.36 -0.21 -0.55  0.29
1994 04   -99   -99   -99   -99  0.45  2.71  1.39  2.11  0.74 -0.44  0.72 -0.18  1.48  2.95  2.70  4.15   -99   -99 -0.10 -1.19 -0.40 -0.31 -0.18 -0.42 -0.51 -0.39  0.18  0.80  0.75  0.90
1994 05 -0.82  0.08  0.12  0.44  0.99  3.87  3.71  4.35  2.93  2.89  5.19  2.67  3.64  5.27  5.82  6.97 -0.17 -0.34 -0.71 -1.41  0.15 -0.25 -0.18 -0.20  0.71 -0.02 -0.04  0.46  0.93  1.41
1994 06  0.67  1.55  2.37  3.63  4.96  6.96  8.22  9.39  7.90  8.38  8.85  8.30  9.04 10.67 10.76 10.68  0.49  0.30  0.25 -0.55  1.21  1.09  0.79  0.04  0.64  0.68  1.06  1.51  1.39  2.02
1994 07  1.64  4.43  6.03  7.78 10.03 11.33 13.94 16.00 14.40 14.77 11.44 15.97 16.53 17.70 16.72 14.75  0.73  0.11  0.30  0.05  0.95  2.04  1.84  1.16  0.75  2.12  2.55  2.75  2.48  2.51
1994 08  2.88  5.87  7.99 11.68 14.64 13.35 17.74 19.78 17.92 15.60 10.18 18.79 19.89 19.91 17.32 14.94  0.61  1.29  1.99  0.34  2.35  2.92  1.98  0.18 -0.07  1.57  2.40  1.93  0.91  1.25
1994 09  2.39  4.09  5.45  9.34 13.32 14.03 15.49 17.48 15.41 12.77  7.63 15.54 16.90 17.46 15.76 13.69  0.12  0.83  1.88  1.44  2.16  2.06  1.27  0.18  0.11  0.79  1.13  0.72 -0.03  0.58
1994 10   -99  2.63  3.57  6.11  9.06   -99 10.76 13.01 11.26  9.16  5.92 11.02 12.08 13.53 13.86 12.65  0.97  1.10  0.90   -99  0.64  0.60  0.59  0.84  1.49  0.26 -0.14  0.01  0.60  0.99
1994 11   -99   -99   -99   -99   -99   -99   -99   -99  6.57  5.14  3.48  6.58  7.49  9.50 10.01 10.60   -99   -99   -99   -99   -99   -99 -0.28  0.81  1.56 -0.00 -0.47  0.19  0.48  1.26
1994 12   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  6.16  5.85  7.56   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.48 -0.03  0.78
1995 01   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  3.28  3.23  4.26   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.34  0.62  0.17
1995 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.16  2.62   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99 -0.07 -0.07
1995 03   -99   -99   -99   -99   -99  3.06  0.72  1.74   -99   -99   -99   -99   -99   -99  0.95  2.68   -99   -99   -99 -0.61 -0.34  0.13   -99   -99   -99   -99   -99   -99  0.04  0.37
1995 04   -99   -99   -99   -99   -99  3.43  1.33  2.55  0.58   -99   -99   -99  0.89  1.66  1.74  3.38   -99   -99   -99 -0.47 -0.46  0.13 -0.34   -99   -99   -99 -0.41 -0.49 -0.21  0.13
1995 05   -99   -99   -99  1.04  1.45  5.24  2.41  3.58  2.69  3.56  5.29  2.66  3.53  4.59  4.33  5.43   -99  0.26 -0.25 -0.04 -1.15 -1.02 -0.42  0.47  0.81 -0.03 -0.15 -0.22 -0.56 -0.13
1995 06  0.14  1.15  1.32  2.87  4.23  7.78  5.59  7.53  7.17  9.23  8.46  7.94  8.16  8.84  9.03  8.61 -0.56 -0.46 -0.48  0.27 -1.42 -0.77  0.06  0.89  0.25  0.32  0.18 -0.32 -0.34 -0.05
1995 07  2.03  4.38  5.34  6.94  8.85 10.19 11.85 13.30 12.42 14.65 11.90 14.17 14.10 15.20 14.50 12.64  0.04 -0.73 -0.88 -1.09 -1.14 -0.66 -0.14  1.04  1.21  0.32  0.12  0.25  0.26  0.40
1995 08  2.76  5.65  7.49  9.63 11.33 10.73 12.66 14.83 15.81 16.00 10.81 17.58 17.77 18.33 17.69 13.71  0.11 -0.76 -1.32 -2.28 -2.73 -2.03 -0.13  0.58  0.56  0.36  0.28  0.35  1.28  0.02
1995 09  2.22  4.13  5.45  8.18 10.09 10.94 11.42 13.22 12.96 12.08  7.03 13.55 14.53 16.21 16.57 13.46  0.12 -0.33 -1.35 -1.65 -1.91 -2.20 -1.18 -0.51 -0.49 -1.20 -1.24 -0.53  0.78  0.35
1995 10  0.82  1.94  2.95  5.58  8.63 10.72  9.78 12.21 11.33  9.27  4.86 11.58 12.82 14.55 14.94 12.94  0.35  0.57  0.47  0.40 -0.34 -0.20  0.66  0.95  0.43  0.82  0.60  1.03  1.68  1.28
1995 11   -99  0.35  0.89  2.01  4.88  8.22  6.09  8.86  7.75  5.13  1.62  7.53  9.07 10.72 10.84 10.21 -0.03 -0.16  0.02 -0.08 -0.62  0.02  0.90  0.80 -0.30  0.95  1.11  1.41  1.31  0.87
1995 12   -99   -99   -99   -99   -99  6.06  3.34  5.33  3.93   -99   -99   -99   -99  6.33  6.86  7.19   -99   -99   -99 -0.10 -0.48 -0.04  0.23   -99   -99   -99   -99  0.65  0.98  0.41
1996 01   -99   -99   -99   -99   -99  4.62  1.75  2.52  1.16   -99   -99   -99  1.96  2.67  2.60  3.97   -99   -99   -99  0.28 -0.42 -0.63 -0.42   -99   -99   -99 -0.03 -0.27 -0.01 -0.12
1996 02   -99   -99   -99   -99   -99  4.04  1.14  2.04   -99   -99   -99   -99  0.97  1.80  1.01  2.54   -99   -99   -99  0.24 -0.44 -0.05   -99   -99   -99   -99 -0.07  0.13 -0.22 -0.15
1996 03   -99   -99   -99   -99  0.43  3.60  0.93  2.23  0.43   -99 -0.94   -99  0.84  1.58  0.86  2.42   -99   -99  0.11 -0.07 -0.13  0.62  0.14   -99 -0.45   -99  0.25  0.28 -0.05  0.11
1996 04   -99   -99   -99 -0.41  0.30  3.94  1.09  2.08  0.88 -0.20  0.49 -0.13  1.31  2.08  1.64  3.15   -99 -0.06 -0.25  0.04 -0.70 -0.34 -0.04 -0.18 -0.74 -0.34  0.01 -0.07 -0.31 -0.10
1996 05   -99   -99  0.01  0.84  1.93  5.91  3.53  4.58  3.22  3.02  4.72  2.68  3.96  5.39  5.10  5.89 -0.28  0.06  0.23  0.63 -0.03 -0.02  0.11 -0.07  0.24 -0.01  0.28  0.58  0.21  0.33
1996 06   -99   -99  1.05  2.96  4.42  7.54  6.73  8.89  7.43  9.37  8.93  8.24  8.76  9.98  9.58  8.76 -0.83 -0.37 -0.29  0.03 -0.28  0.59  0.32  1.03  0.72  0.62  0.78  0.82  0.21  0.10
1996 07  2.11  3.81  4.02  6.71  9.34 11.38 12.70 14.67 12.45 13.33 10.82 13.65 13.43 14.32 12.79 11.61 -1.28 -0.96 -0.39  0.10 -0.29  0.71 -0.11 -0.28  0.13 -0.20 -0.55 -0.63 -1.45 -0.63
1996 08  3.10  6.11  7.76 10.74 12.84 13.48 16.01 17.76 16.60 16.37 10.87 18.05 17.84 18.33 16.90 13.24  0.38  0.35  0.19  0.47  0.62  0.90  0.66  0.95  0.62  0.83  0.35  0.35  0.49 -0.45
1996 09  1.87  3.56  3.97  8.44 11.76 13.07 13.15 15.75 14.37 13.66  8.86 14.75 14.96 15.91 16.34 13.01 -1.36 -0.07  0.32  0.48 -0.18  0.33  0.23  1.07  1.34  0.00 -0.81 -0.83  0.55 -0.10
1996 10  0.61  1.70  1.69  3.80  7.20 10.07  9.07 11.71 10.08  8.44  4.22 10.59 10.52 11.81 12.67 11.49 -0.91 -1.21 -0.96 -0.25 -1.05 -0.70 -0.59  0.12 -0.21 -0.17 -1.70 -1.71 -0.59 -0.17
1996 11   -99   -99  0.53  1.71  4.62  8.64  6.50  9.62  7.08  4.54  1.62  6.76  7.50  8.51  8.79  8.74 -0.39 -0.46 -0.24  0.34 -0.21  0.78  0.23  0.21 -0.30  0.18 -0.46 -0.80 -0.74 -0.60
1996 12   -99   -99   -99   -99  2.67  7.55  4.42  5.84  4.25   -99   -99  3.90  4.77  6.33  6.18  6.63   -99   -99  0.56  1.39  0.60  0.47  0.55   -99   -99  0.68  0.20  0.65  0.30 -0.15
1997 01   -99   -99   -99   -99   -99   -99  2.26   -99   -99   -99   -99   -99  2.56  3.18  2.98  4.70   -99   -99   -99   -99  0.09   -99   -99   -99   -99   -99  0.57  0.24  0.37  0.61
1997 02   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  1.68  1.14  3.07   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99  0.01 -0.09  0.38
1997 03   -99   -99   -99   -99   -99   -99  0.34  0.86 -0.08   -99   -99   -99  0.21  0.81  0.96  2.71   -99   -99   -99   -99 -0.72 -0.75 -0.37   -99   -99   -99 -0.38 -0.49  0.05  0.40
1997 04   -99   -99   -99   -99   -99  3.66  1.11  0.99 -0.09 -0.83  0.36 -1.07  0.20  1.67  1.25  3.11   -99   -99   -99 -0.24 -0.68 -1.43 -1.01 -0.81 -0.87 -1.28 -1.10 -0.48 -0.70 -0.14
1997 05   -99   -99  0.08  0.31  0.74  5.36  2.59  2.92  1.58  1.89  4.09  1.31  2.47  3.83  3.63  5.66 -0.21 -0.47 -0.96  0.08 -0.97 -1.68 -1.53 -1.20 -0.39 -1.38 -1.21 -0.98 -1.26  0.10
1997 06  0.23  1.39  1.83  3.21  4.26  7.65  6.33  7.19  6.38  7.93  8.41  6.74  7.08  8.47  8.92  8.70 -0.05 -0.12 -0.45  0.14 -0.68 -1.11 -0.73 -0.41  0.20 -0.88 -0.90 -0.69 -0.45  0.04
1997 07  1.55  3.43  4.81  7.65  8.81 10.87 11.34 12.39 11.84 13.49 10.16 13.40 13.27 14.51 14.40 12.59 -0.49 -0.02 -0.92 -0.41 -1.65 -1.57 -0.72 -0.12 -0.53 -0.45 -0.71 -0.44  0.16  0.35
1997 08  3.25  5.49  6.96  9.87 12.15 13.13 15.53 16.80 15.35 15.19  9.55 16.66 16.83 17.39 15.62 13.80 -0.42 -0.52 -0.50  0.12  0.14 -0.06 -0.59 -0.23 -0.70 -0.56 -0.66 -0.59 -0.79  0.11
1997 09  1.99  4.44  6.05  8.78 11.60 13.11 13.16 15.16 13.87 13.12  8.26 14.73 15.80 17.10 16.42 13.49  0.72  0.27  0.16  0.52 -0.17 -0.26 -0.27  0.53  0.74 -0.02  0.03  0.36  0.63  0.38
1997 10  0.89  1.93  2.69  5.39  8.20 10.66  9.53 11.71 10.68  8.56  4.78 10.34 11.54 12.91 12.74 11.39  0.09  0.38  0.04  0.34 -0.59 -0.70  0.01  0.24  0.35 -0.42 -0.68 -0.61 -0.52 -0.27
1997 11   -99   -99  1.01  2.30  4.77  8.54  5.71  7.64  6.87  4.40  1.86  6.51  7.51  8.92  9.98  9.62  0.09  0.13 -0.09  0.24 -1.00 -1.20  0.02  0.07 -0.06 -0.07 -0.45 -0.39  0.45  0.28
1997 12   -99   -99   -99   -99  1.25   -99  2.83  3.91  3.06   -99 -0.57  2.93  3.55  4.55  5.18  6.53   -99   -99 -0.86   -99 -0.99 -1.46 -0.64   -99 -0.59 -0.29 -1.02 -1.13 -0.70 -0.25
1998 01   -99   -99   -99   -99   -99  3.96  1.54   -99   -99   -99   -99   -99  1.51  2.13  2.29  3.75   -99   -99   -99 -0.38 -0.63   -99   -99   -99   -99   -99 -0.48 -0.81 -0.32 -0.34
1998 02   -99   -99   -99   -99   -99  3.65   -99   -99   -99   -99   -99   -99   -99  1.17  1.13  2.60   -99   -99   -99 -0.15   -99   -99   -99   -99   -99   -99   -99 -0.50 -0.10 -0.09
1998 03   -99   -99   -99   -99  0.30  4.13  0.97  1.50  0.80   -99 -0.91 -0.22  0.64  0.97  0.76  2.40   -99   -99 -0.02  0.46 -0.09 -0.11  0.51   -99 -0.42  0.31  0.05 -0.33 -0.15  0.09
1998 04   -99   -99   -99 -1.08  0.39  4.30  1.59  2.85  1.25  0.01  1.70  0.29  1.74  2.04  1.90  3.45   -99 -0.73 -0.16  0.40 -0.20  0.43  0.33  0.03  0.47  0.08  0.44 -0.11 -0.05  0.20
1998 05   -99   -99  0.61  1.11  2.09  6.53  4.81  6.16  4.36  4.67  5.39  4.00  5.01  5.92  5.51  6.11  0.32  0.33  0.39  1.25  1.25  1.56  1.25  1.58  0.91  1.31  1.33  1.11  0.62  0.55
1998 06  0.86  1.86  2.19  4.50  6.35  8.92  8.88  9.73  8.85  9.40  9.39  9.17  9.67 10.31 10.17  9.23  0.31  1.17  1.64  1.41  1.87  1.43  1.74  1.06  1.18  1.55  1.69  1.15  0.80  0.57
1998 07  2.82  5.34  6.11  9.26 10.74 12.40 14.07 14.10 13.18 14.30 10.39 14.68 13.93 15.24 14.97 11.98  0.81  1.59  1.01  1.12  1.08  0.14  0.62  0.69 -0.30  0.83 -0.05  0.29  0.73 -0.26
1998 08  3.39  6.41  8.65 11.94 14.49 15.15 17.17 18.33 17.25 15.30  8.97 18.08 18.84 19.27 16.86 13.87  1.27  1.55  1.84  2.14  1.78  1.47  1.31 -0.12 -1.28  0.86  1.35  1.29  0.45  0.18
1998 09  2.63  5.05  6.41  8.85 11.63 12.83 12.79 15.07 14.37 13.09  9.04 15.33 16.61 17.24 15.41 12.78  1.08  0.34  0.19  0.24 -0.54 -0.35  0.23  0.50  1.52  0.58  0.84  0.50 -0.38 -0.33
1998 10  1.43  2.34  3.46  5.64  8.62 10.26 10.41 12.49 10.61  7.83  4.21 10.58 12.40 13.08 12.45 10.61  0.86  0.63  0.46 -0.06  0.29  0.08 -0.06 -0.49 -0.22 -0.18  0.18 -0.44 -0.81 -1.05
1998 11   -99  0.68  1.09  2.53  5.51  8.30  7.35  9.80  7.61  4.20  2.25  6.97  8.73  9.56  9.12  8.52  0.17  0.36  0.65  0.00  0.64  0.96  0.76 -0.13  0.33  0.39  0.77  0.25 -0.41 -0.82
1998 12   -99   -99   -99   -99  1.56   -99  3.70  5.93  3.32  1.03 -0.03  2.68  4.45  5.71  5.84  6.55   -99   -99 -0.55   -99 -0.12  0.56 -0.38 -0.53 -0.05 -0.54 -0.12  0.03 -0.04 -0.23
1999 01   -99   -99   -99   -99   -99  4.31  2.02  3.50  1.41   -99   -99   -99  1.76  3.06  2.83  4.43   -99   -99   -99 -0.03 -0.15  0.35 -0.17   -99   -99   -99 -0.23  0.12  0.22  0.34
1999 02   -99   -99   -99   -99  0.28  4.04  1.41  2.65   -99   -99   -99   -99   -99  1.79  1.58  3.19   -99   -99  0.06  0.24 -0.17  0.56   -99   -99   -99   -99   -99  0.12  0.35  0.50
1999 03   -99   -99   -99 -0.67  0.86  4.56  1.55  3.03  1.23 -0.94 -0.51 -0.05  1.61  2.11  1.21  2.59   -99  0.27  0.54  0.89  0.49  1.42  0.94  0.09 -0.02  0.48  1.02  0.81  0.30  0.28
1999 04   -99   -99   -99 -0.67  0.75  4.94  2.46  3.84  1.96  0.19  2.02  0.34  2.15  3.07  2.35  4.07   -99 -0.32  0.20  1.04  0.67  1.42  1.04  0.21  0.79  0.13  0.85  0.92  0.40  0.82
1999 05   -99   -99  1.12  1.24  2.71  6.90  5.38  6.84  4.94  4.17  5.36  4.14  5.86  6.91  6.16  6.83  0.83  0.46  1.01  1.62  1.82  2.24  1.83  1.08  0.88  1.45  2.18  2.10  1.27  1.27
1999 06  0.35  1.93  2.39  4.48  6.74  9.24  9.37 11.08  9.76 10.13  8.66 10.11 10.68 12.11 12.17 10.44  0.51  1.15  2.03  1.73  2.36  2.78  2.65  1.79  0.45  2.49  2.70  2.95  2.80  1.78
1999 07  2.12  4.18  5.12  8.25 10.71 11.93 13.94 14.99 14.36 15.03 10.06 15.64 15.59 16.60 14.67 13.81 -0.18  0.58  0.98  0.65  0.95  1.03  1.80  1.42 -0.63  1.79  1.61  1.65  0.43  1.57
